Longitude	Latitude	Elevation, m	Distance (km)
-157.54164	21.426985	-722.4982	26.353882
-157.54102	21.426977	-721.8542	26.419767
-157.54037	21.426968	-721.2881	26.485653
-157.53973	21.426958	-720.982	26.551538
-157.53911	21.42695	-720.9075	26.617424
-157.53847	21.42694	-720.89923	26.68331
-157.53783	21.426931	-720.66925	26.749195
-157.53719	21.426922	-720.324	26.81508
-157.53656	21.426914	-719.8754	26.880966
-157.53592	21.426905	-719.9223	26.946852
-157.53528	21.426895	-720.3951	27.012737
-157.53465	21.426888	-720.4728	27.078623
-157.53401	21.426878	-720.38446	27.144508
-157.53337	21.426868	-720.3754	27.210394
-157.53273	21.42686	-720.3697	27.27628
-157.5321	21.426851	-720.36053	27.342165
-157.53146	21.426842	-720.35236	27.40805
-157.53082	21.426834	-720.34784	27.473936
-157.5302	21.426825	-720.2705	27.539822
-157.52956	21.426815	-720.38525	27.605707
-157.52892	21.426807	-720.9489	27.671593
-157.52829	21.426798	-721.6873	27.737478
-157.52765	21.426788	-722.6172	27.803364
-157.52701	21.42678	-724.0048	27.86925
-157.52637	21.426771	-725.912	27.935135
-157.52574	21.426762	-728.5364	28.00102
-157.5251	21.426754	-731.423	28.066906
-157.52446	21.426744	-734.2592	28.132792
-157.52383	21.426735	-737.98334	28.198677
-157.5232	21.426727	-742.45056	28.264563
-157.52255	21.426718	-746.43787	28.330448
-157.52191	21.426708	-750.47864	28.396334
-157.52129	21.426699	-755.1298	28.46222
-157.52065	21.426691	-760.27576	28.528105
-157.52	21.426682	-765.71594	28.59399
-157.51938	21.426672	-770.10016	28.659876
-157.51874	21.426664	-772.9917	28.725761
-157.5181	21.426655	-774.0393	28.791647
-157.51746	21.426645	-773.3557	28.857533
-157.51683	21.426638	-770.917	28.923418
-157.51619	21.426628	-768.54675	28.989304
-157.51555	21.426619	-766.79724	29.05519
-157.51492	21.42661	-764.9711	29.121075
-157.51428	21.426601	-763.1435	29.18696
-157.51364	21.426592	-761.3453	29.252846
-157.513	21.426584	-759.7891	29.318731
-157.51237	21.426575	-758.6347	29.384617
-157.51173	21.426565	-757.4406	29.450502
-157.5111	21.426558	-756.25757	29.516388
-157.51047	21.426548	-755.4461	29.582273
-157.50983	21.426538	-754.9947	29.648159
-157.50919	21.42653	-754.90186	29.714045
-157.50856	21.426521	-755.1788	29.77993
-157.50792	21.426512	-755.78265	29.845816
-157.50728	21.426504	-756.3921	29.911701
-157.50664	21.426495	-756.96783	29.977587
-157.50601	21.426485	-757.538	30.043472
-157.50537	21.426477	-758.1074	30.109358
-157.50473	21.426468	-758.68756	30.175243
-157.5041	21.426458	-759.2727	30.241129
-157.50346	21.426449	-759.85394	30.307014
-157.50282	21.426441	-760.3822	30.3729
-157.50218	21.426432	-761.0456	30.438786
-157.50156	21.426422	-762.12964	30.504671
-157.50092	21.426414	-763.3546	30.570557
-157.50027	21.426405	-764.58	30.636442
-157.49965	21.426395	-765.3921	30.702328
-157.49901	21.426388	-765.94366	30.768213
-157.49837	21.426378	-766.94464	30.834099
-157.49773	21.426369	-768.12726	30.899984
-157.4971	21.426361	-769.2791	30.96587
-157.49646	21.426352	-770.4718	31.031755
-157.49582	21.426342	-771.6579	31.097641
-157.4952	21.426334	-772.43866	31.163527
-157.49455	21.426325	-773.0651	31.229412
-157.49391	21.426315	-774.0732	31.295298
-157.49327	21.426308	-775.2114	31.361183
-157.49265	21.426298	-776.36395	31.427069
-157.492	21.426289	-777.5342	31.492954
-157.49136	21.426281	-778.7025	31.55884
-157.49074	21.426271	-779.95386	31.624725
-157.4901	21.426262	-781.08685	31.69061
-157.48946	21.426254	-781.7475	31.756496
-157.48882	21.426245	-782.4649	31.822382
-157.48819	21.426235	-783.4972	31.888268
-157.48755	21.426226	-784.608	31.954153
-157.48691	21.426218	-785.7724	32.02004
-157.48628	21.426208	-787.0624	32.085926
-157.48564	21.426199	-788.1631	32.151814
-157.485	21.426191	-788.6795	32.2177
-157.48438	21.426182	-789.2336	32.28359
-157.48373	21.426172	-790.034	32.349472
-157.4831	21.426165	-790.6534	32.41536
-157.48245	21.426155	-791.2524	32.481247
-157.48183	21.426146	-792.24554	32.547134
-157.48119	21.426138	-793.2719	32.61302
-157.48055	21.426128	-794.12286	32.67891
-157.47992	21.426119	-794.5909	32.744797
-157.47928	21.426111	-794.721	32.810684
-157.47864	21.426102	-795.09216	32.87657
-157.478	21.426092	-795.4378	32.94246
-157.47737	21.426085	-795.33777	33.008347
-157.47673	21.426075	-795.4552	33.074234
-157.47609	21.426065	-796.1117	33.14012
-157.47546	21.426058	-796.72205	33.20601
-157.47482	21.426048	-797.3174	33.271896
-157.47418	21.426039	-798.1797	33.337784
-157.47354	21.426031	-799.21185	33.40367
-157.47292	21.426022	-800.3923	33.46956
-157.47227	21.426012	-801.4398	33.535446
-157.47163	21.426003	-802.2666	33.601334
-157.47101	21.425995	-803.1399	33.66722
-157.47037	21.425985	-803.967	33.73311
-157.46973	21.425976	-804.5841	33.798996
-157.46909	21.425968	-805.1066	33.864883
-157.46846	21.425959	-805.58936	33.93077
-157.46782	21.42595	-806.52826	33.99666
-157.46718	21.425941	-807.8256	34.062546
-157.46655	21.425932	-808.5181	34.128433
-157.46591	21.425922	-809.03656	34.19432
-157.46527	21.425915	-809.98755	34.26021
-157.46465	21.425905	-810.85547	34.326096
-157.464	21.425896	-811.4115	34.391983
-157.46336	21.425888	-811.73114	34.45787
-157.46272	21.425879	-811.9535	34.523758
