"tag_id","tagging_date","fork_length_cm","status","days_at_liberty","n_detections","mean_detections_per_day","unique_days","distance_tracked","mean_distance_per_day","n_stations","movements_detected","meacount_movements_per_day","total_brfa_crossings","in_to_out","out_to_in","days_tracked_in","days_tracked_out","mean_brfa_movements_per_day","max_polygon_area","max_linear_distance","z_constrained_path_distance","data_density"
"28170",2018-01-11 16:06:00,44,"Excluded From Analysis",5,41,8.2,3,21.91,4.382,4,14,2.8,0,0,0,4.07,0,0,0.518038533705473,2.55602426402369,5.766,0.6
"28171",2018-01-11 14:35:00,52,"Unknown",94,1392,14.8085106382979,81,7.07,0.0752127659574468,2,7,0.074468085106383,0,0,0,92.52,0,0,0,1.03594269642881,2.354,0.861702127659574
"28173",2018-01-11 15:13:00,42,"Excluded From Analysis",12,290,24.1666666666667,8,101.92,8.49333333333333,14,48,4,2,1,1,10.62,0.06,0.166666666666667,0.556201916362762,12.8294877879475,13.192,0.666666666666667
"28174",2018-01-11 15:23:00,45.5,"Dead",93,2428,26.1075268817204,80,21.64,0.232688172043011,5,5,0.0537634408602151,0,0,0,91.99,0,0,2.23085938741779,6.85361943259748,7.556,0.860215053763441
"28175",2018-01-11 16:05:00,48,"Dead",81,410,5.06172839506173,25,103.5,1.27777777777778,12,54,0.666666666666667,0,0,0,79.85,0,0,2.56824658387279,10.6419837352691,11.767,0.308641975308642
"28176",2018-01-11 13:16:00,39,"Dead",94,9232,98.2127659574468,94,72.9,0.775531914893617,6,62,0.659574468085106,9,4,5,90.01,3.44,0.0957446808510638,1.22382144201756,3.017892615447,3.664,1
"28177",2018-01-11 13:26:00,42.5,"Dead",87,253,2.90804597701149,9,88.89,1.02172413793103,13,44,0.505747126436782,3,1,2,85.73,0.14,0.0344827586206897,10.6447294693975,12.8294877879475,13.192,0.103448275862069
"28178",2018-01-11 14:10:00,50,"Unknown",36,15,0.416666666666667,7,7.08,0.196666666666667,2,4,0.111111111111111,0,0,0,34.68,0,0,0.664206374585867,1.99045049702883,5.119,0.194444444444444
"28179",2018-01-11 14:18:00,45,"Alive",94,14584,155.148936170213,94,3195.74,33.9972340425532,6,3291,35.0106382978723,13,7,6,91.77,1.58,0.138297872340426,6.63652146382904,3.93462339701692,5.484,1
"28180",2018-01-11 14:27:00,60,"Excluded From Analysis",8,454,56.75,8,80.65,10.08125,7,43,5.375,1,1,0,5.27,1.28,0.125,2.04732992723083,6.40565780001422,7.061,1
"28181",2018-01-11 11:01:00,53,"Unknown",94,7175,76.3297872340426,94,0.4,0.00425531914893617,1,1,0.0106382978723404,0,0,0,93.53,0,0,NA,0.397747836473335,1.706,1
"28182",2018-01-11 11:53:00,47,"Excluded From Analysis",2,12,6,2,24.43,12.215,7,7,3.5,1,1,0,0.89,0,0.5,14.9030817959418,8.9185936215284,12.193,1
"28183",2018-01-11 13:01:00,41,"Excluded From Analysis",10,788,78.8,10,209.43,20.943,18,144,14.4,24,12,12,4.65,4.16,2.4,22.8562207971735,7.6335931547624,8.529,1
"28184",2018-01-11 13:06:00,41,"Excluded From Analysis",3,78,26,3,20.32,6.77333333333333,6,16,5.33333333333333,2,1,1,0.71,0.78,0.666666666666667,2.28079353600669,4.70329455335402,8.531,1
